,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
0,21,texas boy suspended for threatening classmate with the one ring     ,his father jason <unknown> said,his father jason <unknown> said the family had been to see the hobbit the battle,agree,agree
1,22,woman <unknown> by scorpion on alaska airlines flight       ,    ,              ,agree,agree
2,29,argentine president takes on <unknown> but not to keep <unknown> at bay   ,latin american president with a,evidently the chance meeting of a latin american president with a <unknown> myth too good,agree,agree
3,74,justin bieber <unknown> <unknown> bear saves russian fisherman       ,<unknown> year old <unknown> <unknown>,<unknown> year old <unknown> <unknown> was recently fishing in russia 's <unknown> republic when he,agree,agree
4,100,man saved from bear attack thanks to his justin bieber <unknown>    ,when <unknown> fisherman <unknown> <unknown>,it all went down when <unknown> fisherman <unknown> <unknown> attack by a brown bear was,agree,agree
5,133,indian bride <unknown> wedding guest after husband has <unknown> seizure during ceremony   ,used by guests during the,getty weapons plates and spoons were among among weapons reportedly used by guests during the,agree,agree
6,165,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,police custody after being tracked,<unknown> is now in police custody after being tracked down by law enforcement officers ,agree,agree
7,310,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,<unknown> cinema against aids <unknown>,justin bieber at <unknown> 's <unknown> cinema against aids <unknown> photo getty   ,agree,agree
8,370,rise of the <unknown> cat pet who was killed and buried by his owner climbed,humane society of tampa bay,doctors at the humane society of tampa bay are scheduling surgery to save <unknown> life,agree,agree
9,473,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,legend the seventh son born,according to an old argentinian legend the seventh son born after six boys with no,agree,agree
10,633,<unknown> woman outed as fake by tampa police       ,to place a third <unknown>,a <unknown> florida woman who claimed she had plastic surgery to place a third <unknown>,agree,agree
11,686,miracle cat <unknown> its way out of its own grave five days after being buried,<unknown> will be back home,despite the difficult days ahead the humane society expects that <unknown> will be back home,agree,agree
12,725,fake lisa <unknown> tweet on <unknown> scandal fools major media outlets    ,to comment on the scandal,as gossip cop has reported the only <unknown> show people to comment on the scandal,agree,agree
13,791,tv show tricks chronic <unknown> into harassing their own mothers     ,funnier <unknown> version of the,it 's basically a funnier <unknown> version of the hoax video from last november that,disagree,disagree
14,812,justin bieber saved this guy from a bear attack      ,not have been able to,justin bieber may not have been able to take on orlando <unknown> but he sure,agree,agree
15,896,tail of survival buried cat believed dead <unknown> back to life    ,week first the <unknown> <unknown>,the <unknown> hell cat pictured above has had a shitty week first the <unknown> <unknown>,agree,agree
16,939,ferguson <unknown> 's photo gets edited into racist meme goes viral    ,the original photo of <unknown>,<unknown> times reporter mitch <unknown> took the original photo of <unknown> <number> in september in,agree,agree
17,945,elementary school <unknown> boy after he threatens to turn fellow student invisible with the one,the boys father jason <unknown>,it sounded unbelievable the boys father jason <unknown> told the daily news he insists his,agree,agree
18,983,justin bieber saved this guy from a bear attack      ,that sort of <unknown> isnt,i know that sort of <unknown> isnt to everyones taste but my granddaughter loaded it,agree,agree
19,1005,angry passenger tossed off plane after crew wishes him merry christmas    ,<unknown>    ,bah <unknown>             ,agree,agree
20,1051,florida woman gets third <unknown> to become <unknown> <number>      ,of these things is not,one of these things is not like the others      ,agree,agree
21,1116,cruel aunt cuts off <unknown> <unknown> penis after he walks in on her using the,sister his aunt had gone,my sister his aunt had gone         ,agree,agree
22,1204,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,<unknown> <unknown> was going fishing,<unknown> <unknown> was going fishing in <unknown> republic when the bear began to <unknown> him,agree,agree
23,1335,florida woman has surgery to add third <unknown> to make herself <unknown> to men ,discovered that her <unknown> site,internet rumor site snopes also discovered that her <unknown> site is registered to <unknown> <unknown>,disagree,disagree
24,1379,<unknown> announces plan to split in two        ,<unknown> and personal computing business,the <unknown> and personal computing business to be known as <unknown> inc will be led,agree,agree
25,1524,scorpion <unknown> woman on <unknown> plane         ,a scorpion <unknown> a woman,los angeles cbs <unknown> a scorpion <unknown> a woman on the hand just before her,agree,agree
26,1562,a justin bieber <unknown> just saved a mans life who was being attacked by a,sometimes a sharp shock can,sometimes a sharp shock can stop an angry bear in its tracks and that <unknown>,agree,agree
27,1587,texas boy suspended for saying he could make classmate disappear with lord of the rings,a ring on his friend,<unknown> claimed thursday he could put a ring on his friend 's head and make,agree,agree
28,1726,<unknown> to split into two public companies        ,<unknown> <unknown> and its investors,the planned breakup is one that palo alto <unknown> <unknown> and its investors have long,agree,agree
29,1753,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,president has said that <unknown>,the president has said that <unknown> is the first jewish boy to take part in,agree,agree
30,1796,<unknown> woman a fake           ,by posting pictures and videos,tampa florida <unknown> <unknown> had made international headlines by posting pictures and videos claiming she,agree,agree
31,1797,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,hit by a car then,<unknown> is still in good spirits despite being hit by a car then buried alive,agree,agree
32,1806,tail of survival buried cat believed dead <unknown> back to life    ,car was in a pool,<unknown> who seemed to have been hit by a car was in a pool of,agree,agree
33,1903,people actually believed <unknown> president adopted a jewish boy to stop his change into a,the story became <unknown> with,somehow the story became <unknown> with the ancient legend of the <unknown> <unknown> equivalent to,agree,agree
34,1923,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,<unknown> tweeted i did n't,<unknown> de <unknown> tweeted i did n't know it but his visit coincided with the,agree,agree
35,1931,<unknown> woman theyre not fake          ,<unknown> had to call <unknown>,<unknown> had to call <unknown> doctors in order to get her controversial operation she said,agree,agree
36,2000,miracle cat <unknown> from the dead five days after burial     ,<unknown> was rushed to the,<unknown> was rushed to the vets where medics said he would likely lose an eye,agree,agree
37,2069,man saved from bear attack thanks to his justin bieber <unknown>    ,on his phone and was,<unknown> was able to call for help on his phone and was rescued by fishermen,agree,agree
38,2071,update children used as dogs in fights        ,video if she closed her,<unknown> stated while watching one video if she closed her eyes and listened to the,agree,agree
39,2150,<unknown> <unknown> the woman with three breasts        ,around the world when she,she made headlines around the world when she revealed she paid thousands of dollars to,disagree,disagree
40,2151,pregnant woman loses eye after police shoot bean bag at her    ,that she feels the police,<unknown> also remained optimistic for thanksgiving but made it clear that she feels the police,agree,agree
41,2153,<unknown> announces plans to break up company        ,off <unknown> technologies a <number>,<unknown> in <number> spun off <unknown> technologies a <number> a maker of <unknown> gear and,agree,agree
42,2162,cheese blamed for north korean leader kim jong-un 's broken ankles    ,source added that the <unknown>,the source added that the <unknown> dictator had undergone an operation at the <unknown> clinic,agree,agree
43,2168,rise of the <unknown> cat pet who was killed and buried by his owner climbed,survivor <unknown> pictured was pronounced,survivor <unknown> pictured was pronounced dead but <unknown> his way out of the grave and,agree,agree
44,2279,argentina 's president just adopted a son so he wo n't turn into a <unknown>,<unknown> posted a photo of,we recommend the <number> best celebrity selfies <unknown> de <unknown> posted a photo of herself,agree,agree
45,2293,<unknown> cat is getting gender assignment surgery        ,both male and female genitalia,the cat has both male and female genitalia       ,agree,agree
46,2415,<unknown> cat <unknown> way out of grave and into our hearts    ,he was hit by car,eight to go <unknown> 's owners accepted their loss after he was hit by car,agree,agree
47,2433,after finding out <unknown> that her <unknown> was unwell this bride married a wedding guest,<unknown> exchanged <unknown> in the,singh and <unknown> exchanged <unknown> in the traditional way in front of the guests as,agree,agree
48,2479,<unknown> <unknown> dead fans panic that <unknown> founder is gone     ,the story started to be,but soon after the story started to be picked up by several different news outlets,agree,agree
